,bq.record.name,bq.name,isArray,bq.array,tidy.name,type,
95,hits.promotion.promoName,promoName,TRUE,promotion,Hits Promotion Promo Name,STRING,
96,hits.promotion.promoCreative,promoCreative,TRUE,promotion,Hits Promotion Promo Creative,STRING,
97,hits.promotion.promoPosition,promoPosition,TRUE,promotion,Hits Promotion Promo Position,STRING,
98,hits.promotionActionInfo.promoIsView,hits.promotionActionInfo.promoIsView,TRUE,promotion,Hits Promotion Action Info Promo Is View,BOOLEAN,
99,hits.promotionActionInfo.promoIsClick,hits.promotionActionInfo.promoIsClick,TRUE,promotion,Hits Promotion Action Info Promo Is Click,BOOLEAN,
100,hits.eCommerceAction.action_type,hits.eCommerceAction.action_type,FALSE,NA,Hits E Commerce Action Action Type,STRING,
101,hits.eCommerceAction.option,hits.eCommerceAction.option,FALSE,NA,Hits E Commerce Action Option,STRING,
102,hits.experiment.experimentId,experimentId,TRUE,experiment,Hits Experiment Experiment Id,STRING,
103,hits.experiment.experimentVariant,experimentVariant,TRUE,experiment,Hits Experiment Experiment Variant,STRING,
104,hits.publisher.dfpAdGroup,hits.publisher.dfpAdGroup,FALSE,NA,Hits Publisher Dfp Ad Group,STRING,
105,hits.publisher.dfpAdUnits,hits.publisher.dfpAdUnits,FALSE,NA,Hits Publisher Dfp Ad Units,STRING,
106,hits.publisher.dfpNetworkId,hits.publisher.dfpNetworkId,FALSE,NA,Hits Publisher Dfp Network Id,STRING,
107,hits.customVariables.customVarName,hits.customVariables.customVarName,FALSE,NA,Hits Custom Variables Custom Var Name,STRING,
108,hits.customVariables.customVarValue,hits.customVariables.customVarValue,FALSE,NA,Hits Custom Variables Custom Var Value,STRING,
109,hits.customDimensions.value,hits.customDimensions.value,FALSE,NA,Hits Custom Dimensions Value,STRING,
110,hits.type,hits.type,FALSE,NA,Hits Type,STRING,
111,hits.social.socialInteractionNetwork,hits.social.socialInteractionNetwork,FALSE,NA,Hits Social Social Interaction Network,STRING,
112,hits.social.socialInteractionAction,hits.social.socialInteractionAction,FALSE,NA,Hits Social Social Interaction Action,STRING,
113,hits.social.socialInteractionTarget,hits.social.socialInteractionTarget,FALSE,NA,Hits Social Social Interaction Target,STRING,
114,hits.social.socialNetwork,hits.social.socialNetwork,FALSE,NA,Hits Social Social Network,STRING,
115,hits.social.hasSocialSourceReferral,hits.social.hasSocialSourceReferral,FALSE,NA,Hits Social Has Social Source Referral,STRING,
116,hits.social.socialInteractionNetworkAction,hits.social.socialInteractionNetworkAction,FALSE,NA,Hits Social Social Interaction Network Action,STRING,
117,hits.latencyTracking.userTimingVariable,hits.latencyTracking.userTimingVariable,FALSE,NA,Hits Latency Tracking User Timing Variable,STRING,
118,hits.latencyTracking.userTimingCategory,hits.latencyTracking.userTimingCategory,FALSE,NA,Hits Latency Tracking User Timing Category,STRING,
119,hits.latencyTracking.userTimingLabel,hits.latencyTracking.userTimingLabel,FALSE,NA,Hits Latency Tracking User Timing Label,STRING,
120,hits.sourcePropertyInfo.sourcePropertyDisplayName,hits.sourcePropertyInfo.sourcePropertyDisplayName,FALSE,NA,Hits Source Property Info Source Property Display Name,STRING,
121,hits.sourcePropertyInfo.sourcePropertyTrackingId,hits.sourcePropertyInfo.sourcePropertyTrackingId,FALSE,NA,Hits Source Property Info Source Property Tracking Id,STRING,
122,hits.contentGroup.contentGroup1,hits.contentGroup.contentGroup1,FALSE,NA,Hits Content Group Content Group1,STRING,
123,hits.contentGroup.contentGroup2,hits.contentGroup.contentGroup2,FALSE,NA,Hits Content Group Content Group2,STRING,
124,hits.contentGroup.contentGroup3,hits.contentGroup.contentGroup3,FALSE,NA,Hits Content Group Content Group3,STRING,
125,hits.contentGroup.contentGroup4,hits.contentGroup.contentGroup4,FALSE,NA,Hits Content Group Content Group4,STRING,
126,hits.contentGroup.contentGroup5,hits.contentGroup.contentGroup5,FALSE,NA,Hits Content Group Content Group5,STRING,
127,hits.contentGroup.previousContentGroup1,hits.contentGroup.previousContentGroup1,FALSE,NA,Hits Content Group Previous Content Group1,STRING,
128,hits.contentGroup.previousContentGroup2,hits.contentGroup.previousContentGroup2,FALSE,NA,Hits Content Group Previous Content Group2,STRING,
129,hits.contentGroup.previousContentGroup3,hits.contentGroup.previousContentGroup3,FALSE,NA,Hits Content Group Previous Content Group3,STRING,
130,hits.contentGroup.previousContentGroup4,hits.contentGroup.previousContentGroup4,FALSE,NA,Hits Content Group Previous Content Group4,STRING,
131,hits.contentGroup.previousContentGroup5,hits.contentGroup.previousContentGroup5,FALSE,NA,Hits Content Group Previous Content Group5,STRING,
132,hits.dataSource,hits.dataSource,FALSE,NA,Hits Data Source,STRING,
133,hits.publisher_infos.dfpAdGroup,dfpAdGroup,TRUE,publisher_infos,Hits Publisher Infos Dfp Ad Group,STRING,
134,hits.publisher_infos.dfpAdUnits,dfpAdUnits,TRUE,publisher_infos,Hits Publisher Infos Dfp Ad Units,STRING,
135,hits.publisher_infos.dfpNetworkId,dfpNetworkId,TRUE,publisher_infos,Hits Publisher Infos Dfp Network Id,STRING,
136,fullVisitorId,fullVisitorId,FALSE,NA,Full Visitor Id,STRING,
137,userId,userId,FALSE,NA,User Id,STRING,
138,clientId,clientId,FALSE,NA,Client Id,STRING,
139,channelGrouping,channelGrouping,FALSE,NA,Channel Grouping,STRING,
140,socialEngagementType,socialEngagementType,FALSE,NA,Social Engagement Type,STRING,
141,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  1  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  1  GROUP BY value),FALSE,NA,Custom Dimension 1,Custom Dimension 1,STRING
142,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  2  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  2  GROUP BY value),FALSE,NA,Custom Dimension 2,Custom Dimension 2,STRING
